"","x"
"1","  We have added an anti spam bot to our Telegram group  Not a group member yet  Join at   unifycrypto "
"2","Old and busted  cryptocurrency The New Hotness  cryptIDcurrency "
"3","  Ol  Dirty Bastard  and a crypto currency called  DirtyCoin   cryptocurrency"
"4","Not only  bitcoin suffered from  SEC recently  The  ICO is dead because of it  Here s how ICO 2 0 is different and  "
"5","  Great to have  join the innovation initiative to talk  cryptocurrency  amp  the future of  blockchain technology  "
"6","  40 Percent of All ICO Money Raised by Only 20 Projects "
"7","  Soon you can do transaction in  BTC   ETH   LTC   XEM   XLM   QTUM   ACT   DGD   PXS and other cryptocurrencies via 4 000 P "
"8","  Whilst players are spending vast amounts on games and in game purchases  they receive little in return   TriForce Token "
"9","   Bitrace   using cryptocurrency to build a Formula 1 track    bitcoin  cryptocurrency  b "
"10","  Formula to lose Money   FUD Irrational Stupidity Panic Selling  HODL folks   Weather the storm and take it to the bank later  "
"11","  The presentation of E Dinar Coin capabilities took place in Turkey  Speaker  Ali Aslan    block "
"12","  Fresh news from SGC team   To know more   visit our Facebook     SudanGC  Gold  Coin  SGC "
"13","   Wizzle  Airdrop  gt  gt      Follow  amp  Retweet to win 1000 WZI  10 winners  WZI  cryptocurrency  ICO  T "
"14","Wow  Thanks  for mentioning  Philippines Peso to  XRP   is very much welcome in the Philippine  "
"15","  The legacy of Wu Tang s ODB will live on through cryptocurrency "
"16","  DIW is proud to announce the addition of Simon Cocking as a member of its advisory board   Read all about it here   "
"17","  Find our full whitepaper here  and discover how our unique  cryptocurrency will open up amazing fan e "
"18","  GET PAID TO MINE CRYPTO  Use FREE MINING PROGRAM for Windows 10 and NVIDIA GTX 10 Series GPUs to mine the top cryptocurre "
"19"," Equitybase using hybrid platform to let everyone the ability to invest into commercial real estate using the  "
"20","  With Crypto there is no sleep            meme  bitcoinmeme  cryptomemes  Cryptotwitter  bitcoin  bitcoins  Ethereum  e "
"21","  We re bringing proven financial technologies to the  cryptocurrency market  This means higher liquidity  lower fees  and comb "
"22","Best Cryptocurrency Exchange  Binance  Register Now  "
"23"," EthereumKey  AIRDROP  Earn 350  Free  ETK   gt  Register at   Verify Email  gt  Enter  ETH wall  "
"24","Ripple CEO tells cryptocurrency industry to  work with the regulators  "
"25"," Cannabis The world of blockchain just got a little bigger today  On Feb  7  2018  SinglePoint Inc   SING  announce  "
"26","  Venezuela Picks FX Platform to Auction Petro  Oil Backed Cryptocurrency   bitcoin  altcoin  ico "
"27","  Help us change the landscape of  legal contracts   smartcontracts provide a faster  more efficient solution to the comm "
"28","  Cryptocurrency Is an Asset Class  Chain CEO Adam Ludwin  says "
"29","  The Dictionary Just Got a Whole Lot Bigger We ve added 850 new words and definitions "
"30","  Interested in ICO Marketing  Download the ultimate  ICO Planning Guide here     blockchain  crypto "
"31","  issued a statement notifying  crypto exchanges that they must be registered i  "
"32"," SocialMediaMarket will help elevate advertising markets to the next level and take considerable market share very  "
"33","  AIRDROP  For 5k twitter follower   5 000 000 FREE GZE     Follow us   Retweet this   Reply your ERC 20 wallet address   1 "
"34"," Genesis Vision and Larson amp Holz Team Up to Enhance Crypto Version of FX Broker        Offsho  "
"35","  Binance was NOT hacked  Stop spreading FUD  A popular trading bot that some people use was hacked  the bot was instructed t "
"36","  You are invited to our first  AMA event this Thursday  March 8  12 00PM  CET   Event will be hosted by our CEO Kumarasen Kanna "
"37","               Dear Community  Meet Vitaly Sokolyansky  Covesting s Head of Support  Vitaly has a mission to build  1 Customer Support te "
"38","Crypto Markets Take A Slump After Quiet Week Subscribe My Youtube Channel          Informati  "
"39","  Fresh news from SGC team   To know more   visit our Facebook     SudanGC  Gold  Coin  SGC "
"40","  Navigate the cryptocurrency market with control and confidence  Ubonium Production Grade MVP is Live now and available from th "
"41","   Ether is coming back up    No better time than now to go buy  VendiCoins at  001 ETH   TODAY IS THE LAST DAY before the ne "
"42","  Current made an appearance on  the other day  Check it out     blockchain  streaming   "
"43","  There s a fierce battle on Crypto Street today  Blood everywhere indeed  but a possible end in sight  Let s hope    Ethereum "
"44","   All the original ideas about using  bitcoin for challenging power   or privacy  or new forms of economic systems   are "
"45","I m waiting for  malware to emerge from  SETI that searches for  alien life vs  that which we have today stealing c  "
"46","  Help us change the landscape of  legal contracts   smartcontracts provide a faster  more efficient solution to the comm "
"47","  Coinbase  a top cryptocurrency exchange  is launching an index fund    bitcoin  blockchain  fintech  banking  nasdaq  wallstre "
"48","  4 productive days in Seoul  IZX stand  negotiations with investors  networking  That was amazing             Now we are on our way to Kual "
"49","                        3 8 Pre Market watch list                           ZSAN  EKSO  SQ  AKS  X  MCD   TEUM  CRME  P  GOOG   BA   Stocks  pennystocks  "
"50","  This may explain incorrect weather forecasts  "
"51","   As the energy consumption habits of the cryptocurrency mining community continue to attract attention  we speak to the T "
"52","  I love these daily  ethereum payments                           Click the link below                        to get started       ethmini "
"53","  Binance was NOT hacked  Stop spreading FUD  A popular trading bot that some people use was hacked  the bot was instructed t "
"54","  Russia to make  cryptocurrency legal effective July 1st  We are going to see  crypto change the world in a HUGE way and "
"55","  What do you think of the 48 hour statistics of the launch of our Bounty program  It s been a major success and we re hum "
"56","FBI chief signals need to understand potential threats tied to cryptocurrency "
"57","  Best Coin with most potential to grow this March  Vote and Retweet    crypto  cryptocurrency  onion  deeponion  electro "
"58","  BITRACE ICO  Amount Raised    1 532 225 USD Last Chance To Get 20  BONUS Buy your BITRACE Token   "
"59","  The StealthCrypto phone  StealthCrypto Box  or any phone that is  using Quantum Mesh Network software can execute nodes "
"60","  For those who want to trade coins   Register on CoinEx   plenty of CET and hold  You may also "
"61","  TriForce Tokens will provide a digital ecosystem that is built on top of blockchain technology to tackle the issues fac "
"62"," Potentially Unlawful   SEC Sternly Warns Cryptocurrency Exchanges Listing ICOs  "
"63","  Game companies are battling  to attract  amp  win over players while marketing costs are inflating due to strength of compe "
"64","  DIW is proud to announce the addition of Simon Cocking as a member of its advisory board   Read all about it here   "
"65","  The StealthCrypto phone  StealthCrypto Box  or any phone that is  using Quantum Mesh Network software can execute nodes "
"66","  Wondering what s an  ICO and whether you should do one  Get tickets now for my talk at Product School on March 29th  "
"67","35k  bitcoin of the 200k   BTC were  sold over the last three  months  18k of  s  BTC transferred the d  "
"68","   PepeCash is a thing y all   CryptoCurrency  PepeTheFrog "
"69","  The StealthCrypto phone  StealthCrypto Box  or any phone that is  using Quantum Mesh Network software can execute nodes "
"70","Earning  cryptocurrency for selling my stuff on   Join me using code  BBNPDG  for an extra 5 XNK  I just lis  "
"71","  Smart contracts  atomic swaps  voting  DApps  Now you can observe the whole Waves Platform Ecosystem in all its glory  h "
"72","The SEC made it clearer that securities laws apply to cryptocurrencies   bitcoin  "
"73","  I added more  dta earlier at these wholesale prices  This might be crazy to some  I am a strong believer of this coin  the "
"74","  Well what are we buying on this dip  Vote and Retweet   crypto  cryptocurrency  nem  xem  miota  iota  verge  xvg  tron "
"75","  Help us change the landscape of  legal contracts   smartcontracts provide a faster  more efficient solution to the comm "
"76","     Blockchain  is meaningless  "
"77","Ripple CEO tells cryptocurrency industry to  work with the regulators  "
