"","x"
"1","            bitcoin  bitcoincash  BTC  Litecoin  ethereum  ETH  ZEC  waves  XRP  XMR  DASH  KICK  BCH  USDT  cryptotrading  Buy "
"2","Detail change 1h    ZZC  60 64    CTO  54 36    CNNC  44 45    IFLT  28 16    CON  24 92    cryptocurrency"
"3","  ONLY SEVEN DAYS LEFT IN THE CROWDSALE     Get your tokens before it s too late  Only at      ViceIndu "
"4","  eBTC  Airdrop    GiveawayAlert  xvg  xrp  btc  sc  redd  life  ltc  doge  zcl  wings "
"5"," bitcoinnews Coinbase Launches Cryptocurrency Trading Tax Calculator    "
"6","Bank Negara Malaysia  BNM   the country s central bank  has unequivocally declared that it does not in any way supp  "
"7","State Of Wyoming Creates New Asset Class For Cryptos                 US state of Wyoming has now c  "
"8","  Join Mylion app Airdrop Total supply   80 000 000 Symbol   MLAT  1  Follow  2  Like  3  Retweet  4  Comment your ETH addr "
"9","  I think I found the project that will bring cryptocurrency to 1 billion users   Excited   Sorry  no details yet   Enjoy t "
"10","  Photochain features simple identity verification for all photographers  Unlike with traditional photostocks  a user can "
"11","  I think I found the project that will bring cryptocurrency to 1 billion users   Excited   Sorry  no details yet   Enjoy t "
"12","Bitcoin Market Report   6 2 Billion  BTC Moves Sideways  cryptocurrency  blockchain  eth  "
"13","  We just posted our first ever article on   Follow the link below to check it out      "
"14"," Yes  let s hope more states start to adopt cryptocurrency "
"15","  Our second week in review article is now up on      KrowNetwork  Cryptocurrency  Bitc "
"16","  Our Bounty Campaign is listed on  out our new dashboard here  can "
"17","  3 Litecoin giveaway follow   retweet  3 people 1 per person  announcing winner in 24 hours    btc  eth  neo  dgb  strat   "
"18"," Sponsored  Introducing   ivyKoin is building a blockchain based Cryptocurrency for B2B payments on a globa  "
"19","   Bitcoin may be recouping some of its earlier losses  but there s more likelihood it goes to  100 than  100 000 in the next 1 "
"20","  Check out our ratings on three major IC  listings  Don t forget to join  presale less than 25 days away  Find more info h "
"21","        I m not arguing that ce  "
"22","  McAfee CTO Steve Grobman weighs in on cyber security threats and cryptocurrency hijacking  "
"23","GIVEAWAY Promotion has begun  the world s 1st decentralized cryptocurrency quotation and exchange platform is going  "
"24","  I think I found the project that will bring cryptocurrency to 1 billion users   Excited   Sorry  no details yet   Enjoy t "
"25","  Message Money to friends and family in Nigeria on Facebook  or Telegram "
"26","  HUGE 8 000 follower giveaway  1 Winner will receive  4BTC and a Trezor black hardware wallet  shipped only to US and sele "
"27","  Man grows potatoes  amp  fruit with cryptocurrency mining    BTC  ETH  XLM  XRP   "
"28","  Finterest revolutionizes how creators protect  track and monetize their work by using blockchain and smart contracts tec "
"29","  Don t forget that you can participate in our  lottery to win  10 000 worth of Darico tokens  Simply give us your feedback o "
"30","  Head of the European Banking Authority cryptocurrencies should come under the full scope of regulation  It s why ECB i "
"31","  Meet the Team in the Paris Conference organized by Course 225   Corporate Finance and Financial EngineeringThe confere "
"32","Evocoin announces its Pre ICO launch for cryptocurrency blockchain to all potential investors   "
"33","  Hell is being forced to listen to a man talk about cryptocurrency "
"34","we can eliminate social problems   blockchain  revolution  blockchaintechnology  socialimpact  utopi  startup  "
"35","Evocoin announces its Pre ICO launch for cryptocurrency blockchain to all potential investors   "
"36","  We are humbled to share the amazing response we have seen from the XiWATT community              Check out our weekly update to see highli "
"37","   BULLISH on  CryptoCurrency Short term fluctuations don t mean anything  Think BIG picture   MassAdoption "
